Date,Close
2018-04-09,47.84
2018-04-10,48.15
2018-04-11,48.3
2018-04-12,48.26
2018-04-13,48.28
2018-04-16,51.09
2018-04-17,51.22
2018-04-18,51.28
2018-04-19,50.83
2018-04-20,50.76
2018-04-23,50.16
2018-04-24,49.51
2018-04-25,49.94
2018-04-26,49.4
2018-04-27,49.46
2018-04-30,48.86
2018-05-01,48.98
2018-05-02,48.2
2018-05-03,49.26
2018-05-04,53.38
2018-05-07,53.97
2018-05-08,54.34
2018-05-09,53.23
2018-05-10,53.29
2018-05-11,52.15
2018-05-14,51.03
2018-05-15,51.59
2018-05-16,51.66
2018-05-17,51.78
2018-05-18,51.83
2018-05-21,52.08
2018-05-22,51.05
2018-05-23,51.96
2018-05-24,52.06
2018-05-25,50.8
2018-05-29,50.31
2018-05-30,51
2018-05-31,50.61
2018-06-01,50.19
2018-06-04,50.92
2018-06-05,51.39
2018-06-06,51.88
2018-06-07,53.06
2018-06-08,54.41
2018-06-11,52.55
2018-06-12,51.99
2018-06-13,52.46
2018-06-14,52.9
2018-06-15,52.16
2018-06-18,53.77
2018-06-19,50.38
2018-06-20,50.13
2018-06-21,51.07
2018-06-22,52.54
2018-06-25,52.65
2018-06-26,53.12
2018-06-27,51.29
2018-06-28,51.29
2018-06-29,52.12
2018-07-02,52.17
2018-07-03,52.46
2018-07-05,53.43
2018-07-06,53.15
2018-07-09,53.2
2018-07-10,52.57
2018-07-11,52.49
2018-07-12,52.69
2018-07-13,52.21
2018-07-16,50.99
2018-07-17,51.44
2018-07-18,52.39
2018-07-19,52.78
2018-07-20,52.13
2018-07-23,52.54
2018-07-24,50.54
2018-07-25,50.61
2018-07-26,51.26
2018-07-27,51.11
2018-07-30,49.34
2018-07-31,49.35
2018-08-01,49.09
2018-08-02,50.31
2018-08-03,59.22
2018-08-06,58.74
2018-08-07,59.2
2018-08-08,60.18
2018-08-09,61.22
2018-08-10,60.04
2018-08-13,60.29
2018-08-14,61.97
2018-08-15,61.61
2018-08-16,63.73
2018-08-17,63.21
2018-08-20,63.59
2018-08-21,63.43
2018-08-22,63.49
2018-08-23,64.84
2018-08-24,65.97
2018-08-27,66.79
2018-08-28,66.74
2018-08-29,66.39
2018-08-30,66.57
2018-08-31,66.95
2018-09-04,65.55
2018-09-05,66.68
2018-09-06,68.87
2018-09-07,69.71
2018-09-10,67.48
2018-09-11,66.19
2018-09-12,65.55
2018-09-13,65.94
2018-09-14,66.36
2018-09-17,65.85
2018-09-18,67.2
2018-09-19,65.99
2018-09-20,66.79
2018-09-21,66.35
2018-09-24,66.99
2018-09-25,69.35
2018-09-26,68.29
2018-09-27,67.81
2018-09-28,68.27
2018-10-01,67.08
2018-10-02,65.01
2018-10-03,67.33
2018-10-04,67.3
2018-10-05,68.86
2018-10-08,70.48
2018-10-09,69.66
2018-10-10,67.98
2018-10-11,67.41
2018-10-12,69.49
2018-10-15,72.3
2018-10-16,74.24
2018-10-17,73.94
2018-10-18,71.36
2018-10-19,70.79
2018-10-22,70.16
2018-10-23,69.64
2018-10-24,65.98
2018-10-25,66.18
2018-10-26,67.19
2018-10-29,65.05
2018-10-30,62.66
2018-10-31,62.62
2018-11-01,63.71
2018-11-02,62.41
2018-11-05,62.69
2018-11-06,64.56
2018-11-07,67.22
2018-11-08,67.76
2018-11-09,67.4
2018-11-12,66.83
2018-11-13,65.56
2018-11-14,66.17
2018-11-15,66.11
2018-11-16,65.48
2018-11-19,65.35
2018-11-20,63.88
2018-11-21,64.51
2018-11-23,62.9
2018-11-26,63.76
2018-11-27,62.43
2018-11-28,64.02
2018-11-29,64.51
2018-11-30,65.62
2018-12-03,62.08
2018-12-04,62.73
2018-12-06,63.68
2018-12-07,61.43
2018-12-10,64.24
2018-12-11,63.32
2018-12-12,64.56
2018-12-13,64.73
2018-12-14,63.21
2018-12-17,60.66
2018-12-18,61.02
2018-12-19,61.83
2018-12-20,60.75
2018-12-21,59.93
2018-12-24,57.36
2018-12-26,60.8
2018-12-27,60.59
2018-12-28,64.64
2018-12-31,64.19
2019-01-02,61.61
2019-01-03,60.76
2019-01-04,62.71
2019-01-07,67.43
2019-01-08,70.27
2019-01-09,71.14
2019-01-10,69.05
2019-01-11,69.99
2019-01-14,67.18
2019-01-15,67.01
2019-01-16,67.37
2019-01-17,67.64
2019-01-18,67.95
2019-01-22,68.65
2019-01-23,69.34
2019-01-24,67.78
2019-01-25,67.44
2019-01-28,67.08
2019-01-29,66.57
2019-01-30,66.05
2019-01-31,65.65
2019-02-01,65.51
2019-02-04,67.99
2019-02-05,67.7
2019-02-06,68
2019-02-07,67.79
2019-02-08,67.71
2019-02-11,69.4
2019-02-12,70.7
2019-02-13,68.31
2019-02-14,68.63
2019-02-15,68.32
2019-02-19,67.71
2019-02-20,66.95
2019-02-21,67.19
2019-02-22,68.35
2019-02-25,66.33
2019-02-26,66.21
2019-02-27,65.97
2019-02-28,66.61
2019-03-01,64.82
2019-03-04,65.43
2019-03-05,66.4
2019-03-06,65.86
2019-03-07,65.43
2019-03-08,66.65
2019-03-11,66.81
2019-03-12,66.84
2019-03-13,69.43
2019-03-14,69.79
2019-03-15,69.5
2019-03-18,72.14
2019-03-19,70.85
2019-03-20,71.36
2019-03-21,72.88
2019-03-22,72.36
2019-03-25,72.16
2019-03-26,71.76
2019-03-27,72.63
2019-03-28,75.17
2019-03-29,76.03
2019-04-01,74.74
2019-04-02,72.56
2019-04-03,73
2019-04-04,73.59
2019-04-05,74.17